Province,Centre,Census Subdivision,Singles,Semis,Row,Apartment and Other,Total
Sask.,Regina,Buena Vista (VL),4,0,0,0,4
Sask.,Regina,Lumsden (T),2,0,0,0,2
Sask.,Regina,Lumsden Beach (RV),0,0,0,0,0
Sask.,Regina,Regina Beach (T),5,0,0,0,5
Sask.,Regina,Total,321,42,166,408,937
Sask.,Saskatoon,Thode (RV),0,0,0,0,0
Sask.,Saskatoon,Dundurn No. 314 (RM),0,0,0,0,0
Sask.,Saskatoon,Dundurn (T),3,0,0,0,3
Sask.,Saskatoon,Shields (RV),7,0,0,0,7
Sask.,Saskatoon,Corman Park No. 344 (RM),87,0,0,0,87
Sask.,Saskatoon,Saskatoon (CY),700,78,209,1386,2373
Sask.,Saskatoon,Langham (T),1,0,0,0,1
Sask.,Saskatoon,Warman (CY),53,4,48,1,106
Sask.,Saskatoon,Blucher No. 343 (RM),8,0,0,0,8
Sask.,Saskatoon,Martensville (CY),17,10,8,0,35
Sask.,Saskatoon,Bradwell (VL),0,0,0,0,0
Sask.,Saskatoon,Allan (T),1,0,0,0,1
Sask.,Saskatoon,Dalmeny (T),3,0,0,0,3
Sask.,Saskatoon,Osler (T),0,0,0,0,0
Sask.,Saskatoon,Colonsay No. 342 (RM),0,0,0,0,0
Sask.,Saskatoon,Clavet (VL),1,2,0,0,3
Sask.,Saskatoon,Meacham (VL),2,0,0,0,2
Sask.,Saskatoon,Colonsay (T),0,0,0,0,0
Sask.,Saskatoon,First Nations (Saskatoon) (R),4,0,0,0,4
Sask.,Saskatoon,Vanscoy No. 345 (RM),11,0,0,0,11
Sask.,Saskatoon,Delisle (T),2,0,0,0,2
Sask.,Saskatoon,Vanscoy (VL),0,0,0,0,0
Sask.,Saskatoon,Asquith (T),2,0,0,0,2
Sask.,Saskatoon,Aberdeen No. 373 (RM),10,0,0,0,10
Sask.,Saskatoon,Aberdeen (T),1,0,0,0,1
Sask.,Saskatoon,Total,913,94,265,1387,2659
Sask.,Estevan,Bienfait (T),0,0,0,0,0
Sask.,Estevan,Estevan No. 5 (RM),3,0,0,0,3
Sask.,Estevan,Estevan (CY),1,10,0,0,11
Sask.,Estevan,Total,4,10,0,0,14
Sask.,Lloydminster,Wilton No. 472 (RM),2,0,0,0,2
